date, pm25, pm10, o3, no2
2023/6/17, 61, 14, 40, 5
2023/6/18, 49, 15, 40, 9
2023/6/19, 47, 14, 45, 8
2023/6/20, 48, 12, 37, 8
2023/6/21, 40, 9, 29, 5
2023/6/22, 26, 9, 33, 3
2023/6/23, 26, 8, 34, 6
2023/6/24, 29, 7, 25, 10
2023/6/25, 24, 7, 33, 7
2023/6/26, 23, 5, 40, 2
2023/6/27, 15, 7, 29, 7
2023/6/28, 23, 6, 28, 1
2023/6/29, 17, 8, 26, 7
2023/6/30, 22, 9, 28, 3
2023/1/2, 79, 13, 32, 12
2023/1/3, 41, 2, 32, 3
2023/1/4, 6, 3, 26, 5
2023/1/5, 8, 2, 27, 2
2023/1/6, 7, 6, 29, 2
2023/1/7, 17, 4, 30, 1
2023/1/8, 13, 3, 30, 2
2023/1/9, 8, 7, 29, 2
2023/1/10, 18, 11, 34, 2
2023/1/11, 28, 8, 30, 4
2023/1/12, 22, 5, 25, 7
2023/1/13, 18, 8, 31, 8
2023/1/14, 28, 3, 23, 3
2023/1/15, 11, 7, 29, 5
2023/1/16, 18, 7, 20, 14
2023/1/17, 25, 12, 16, 13
2023/1/18, 37, 17, 13, 17
2023/1/19, 46, 31, 2, 24
2023/1/20, 85, 11, 26, 5
2023/1/21, 35, 4, 24, 1
2023/1/22, 13, 3, 25, 2
2023/1/23, 10, 2, 23, 3
2023/1/24, 5, 9, 33, 2
2023/1/25, 21, 8, 28, 4
2023/1/26, 21, 6, 28, 6
2023/1/27, 18, 11, 29, 5
2023/1/28, 30, 10, 31, 1
2023/1/29, 24, 12, 29, 4
2023/1/30, 29, 10, 30, 3
2023/1/31, 24, 8, 27, 5
2023/2/1, 20, 8, 31, 12
2023/2/2, 25, 5, 31, 8
2023/2/3, 17, 5, 28, 3
2023/2/4, 16, 15, 26, 6
2023/2/5, 38, 13, 28, 2
2023/2/6, 34, 6, 28, 3
2023/2/7, 20, 7, 33, 1
2023/2/8, 22, 11, 32, 2
2023/2/9, 27, 13, 32, 3
2023/2/10, 31, 29, 33, 4
2023/2/11, 65, 12, 31, 4
2023/2/12, 33, 11, 27, 5
2023/2/13, 31, 12, 27, 2
2023/2/14, 42, 16, 30, 2
2023/2/15, 49, 12, 28, 4
2023/2/16, 30, 4, 33, 1
2023/2/17, 11, 7, 27, 6
2023/2/18, 20, 6, 33, 3
2023/2/19, 19, 21, 33, 
2023/2/20, 45, 9, 29, 5
2023/2/21, 22, 2, 33, 2
2023/2/22, 7, 9, 29, 5
2023/2/23, 21, 5, 31, 3
2023/2/24, 13, 4, 28, 5
2023/2/25, 12, 6, 29, 2
2023/2/26, 17, 4, 26, 4
2023/2/27, 14, 3, 31, 3
2023/2/28, 10, 4, 29, 2
2023/3/1, 10, 8, 28, 9
2023/3/2, 24, 13, 34, 8
2023/3/3, 34, 7, 33, 2
2023/3/4, 17, 7, 30, 7
2023/3/5, 20, 10, 25, 10
2023/3/6, 26, 9, 24, 10
2023/3/7, 16, 13, 31, 7
2023/3/8, 31, 5, 27, 8
2023/3/9, 14, 13, 29, 9
2023/3/10, 30, 5, 31, 3
2023/3/11, 16, 5, 34, 1
2023/3/12, 16, 3, 31, 7
2023/3/13, 9, 6, 28, 8
2023/3/14, 16, 8, 30, 8
2023/3/15, 22, 7, 32, 4
2023/3/16, 16, 4, 27, 4
2023/3/17, 10, 6, 28, 4
2023/3/18, 18, 5, 28, 4
2023/3/19, 17, 6, 34, 7
2023/3/20, 15, 7, 31, 10
2023/3/21, 17, 8, 36, 1
2023/3/22, 18, 15, 35, 2
2023/3/23, 38, 7, 32, 6
2023/3/24, 20, 2, 29, 5
2023/3/25, 6, 3, 33, 8
2023/3/26, 8, 3, 30, 5
2023/3/27, 8, 5, 31, 3
2023/3/28, 14, 4, 33, 6
2023/3/29, 12, 4, 28, 7
2023/3/30, 11, 4, 36, 5
2023/3/31, 11, 6, 37, 5
2022/10/1, 13, 6, 20, 2
2022/10/2, 18, 12, 17, 5
2022/10/3, 31, 7, 23, 2
2022/10/4, 17, 7, 27, 5
2022/10/5, 18, 15, 22, 4
2022/10/6, 33, 17, 22, 3
2022/10/7, 39, 7, 20, 6
2022/10/8, 16, 7, 27, 
2022/10/9, 20, 10, 26, 2
2022/10/10, 25, 9, 24, 5
2022/10/11, 20, 5, 26, 1
2022/10/12, 15, 7, 25, 4
2022/10/13, 18, 6, 25, 2
2022/10/14, 18, 5, 27, 4
2022/10/15, 12, 5, 28, 1
2022/10/16, 13, 7, 26, 4
2022/10/17, 16, 68, 21, 4
2022/10/18, 40, 8, 19, 7
2022/10/19, 20, 12, 10, 12
2022/10/20, 35, 30, 3, 22
2022/10/21, 64, 10, 12, 11
2022/10/22, 33, 11, 17, 8
2022/10/23, 38, 6, 12, 14
2022/10/24, 17, 7, 15, 13
2022/10/25, 22, 4, 26, 2
2022/10/26, 10, 16, 25, 1
2022/10/27, 44, 5, 22, 2
2022/10/28, 14, 14, 26, 5
2022/10/29, 35, 8, 21, 5
2022/10/30, 23, 9, 27, 1
2022/10/31, 27, 6, 26, 3
2022/11/1, 14, 5, 25, 3
2022/11/2, 15, 8, 28, 1
2022/11/3, 23, 4, 23, 7
2022/11/4, 13, 5, 25, 4
2022/11/5, 16, 5, 25, 3
2022/11/6, 16, 6, 22, 9
2022/11/7, 17, 4, 30, 2
2022/11/8, 13, 8, 33, 4
2022/11/9, 20, 10, 24, 2
2022/11/10, 30, 20, 24, 2
2022/11/11, 52, 15, 27, 4
2022/11/12, 39, 7, 25, 5
2022/11/13, 24, 10, 8, 10
2022/11/14, 35, 9, 24, 13
2022/11/15, 27, 3, 30, 
2022/11/16, 5, 3, 27, 4
2022/11/17, 7, 25, 8, 24
2022/11/18, 56, 30, 4, 19
2022/11/19, 82, 32, 11, 16
2022/11/20, 86, 14, 20, 10
2022/11/21, 39, 5, 20, 3
2022/11/22, 13, 6, 21, 5
2022/11/23, 16, 3, 21, 2
2022/11/24, 7, 2, 25, 2
2022/11/25, 5, 5, , 1
2022/11/26, 15, 3, , 1
2022/11/27, 8, 3, , 6
2022/11/28, 10, 9, , 10
2022/11/29, 20, 24, , 15
2022/11/30, 51, 15, , 10
2022/12/1, 38, 31, , 20
2022/12/2, 77, 38, , 22
2022/12/3, 98, 36, , 19
2022/12/4, 100, 18, , 15
2022/12/5, 57, 6, , 9
2022/12/6, 18, 24, , 21
2022/12/7, 63, 22, , 18
2022/12/8, 58, 20, , 18
2022/12/9, 52, 27, , 15
2022/12/10, 76, 19, , 12
2022/12/11, 63, 37, , 17
2022/12/12, 85, 13, , 11
2022/12/13, 41, 20, , 16
2022/12/14, 59, 35, , 25
2022/12/15, 94, 14, , 16
2022/12/16, 48, 7, , 6
2022/12/17, 24, 17, , 7
2022/12/18, 43, 3, , 2
2022/12/19, 8, 10, , 2
2022/12/20, 29, 7, , 3
2022/12/21, 20, 4, , 9
2022/12/22, 14, 10, , 13
2022/12/23, 32, 31, , 19
2022/12/24, 93, 5, , 5
2022/12/25, 18, 6, , 3
2022/12/26, 17, 11, , 5
2022/12/27, 30, 7, 28, 11
2022/12/28, 22, 3, 33, 3
2022/12/29, 10, 8, 28, 2
2022/12/30, 20, 12, 29, 4
2022/12/31, 32, 31, 23, 15
2023/1/1, 85, 27, 10, 23
2022/7/1, 23, 4, , 2
2022/7/2, 13, 4, , 4
2022/7/3, 11, 3, , 1
2022/7/4, 9, 7, , 1
2022/7/5, 13, 9, , 1
2022/7/6, 17, 5, , 
2022/7/7, 11, 7, , 4
2022/7/8, 16, 10, , 
2022/7/9, 21, 2, , 1
2022/7/10, 5, 4, , 2
2022/7/11, 11, 6, , 2
2022/7/12, 15, 8, , 2
2022/7/13, 18, 8, , 
2022/7/14, 17, 4, , 2
2022/7/15, 7, 3, , 2
2022/7/16, 6, 2, , 1
2022/7/17, 7, 5, , 3
2022/7/18, 16, 10, , 5
2022/7/19, 25, 19, , 4
2022/7/20, 44, 4, , 2
2022/7/21, 13, 5, , 1
2022/7/22, 12, 9, , 
2022/7/23, 20, 4, , 1
2022/7/24, 15, 6, , 1
2022/7/25, 17, 4, , 
2022/7/26, 9, 3, , 2
2022/7/27, 6, 4, , 3
2022/7/28, 9, 5, , 6
2022/7/29, 17, 5, , 3
2022/7/30, 15, 6, , 1
2022/7/31, 15, 9, , 2
2022/8/1, 18, 4, , 1
2022/8/2, 9, 11, , 1
2022/8/3, 32, 5, , 3
2022/8/4, 14, 4, , 2
2022/8/5, 9, 5, , 1
2022/8/6, 11, 3, , 
2022/8/7, 8, 3, , 3
2022/8/8, 7, 5, , 2
2022/8/9, 14, 5, , 
2022/8/10, 13, 13, , 6
2022/8/11, 36, 5, , 6
2022/8/12, 15, 4, , 3
2022/8/13, 13, 8, , 6
2022/8/14, 21, 19, 27, 11
2022/8/15, 38, 12, 22, 10
2022/8/16, 41, 8, 21, 1
2022/8/17, 17, 8, 23, 5
2022/8/18, 18, 7, 32, 3
2022/8/19, 17, 7, 23, 
2022/8/20, 20, 6, 23, 2
2022/8/21, 15, 6, 19, 4
2022/8/22, 14, 7, 25, 6
2022/8/23, 16, 9, 37, 5
2022/8/24, 23, 8, 33, 5
2022/8/25, 24, 4, 27, 3
2022/8/26, 12, 5, 23, 3
2022/8/27, 14, 3, 20, 
2022/8/28, 7, 8, 19, 7
2022/8/29, 16, 7, 25, 5
2022/8/30, 20, 7, 26, 4
2022/8/31, 20, 7, 27, 7
2022/9/1, 22, 5, 28, 5
2022/9/2, 12, 5, 26, 6
2022/9/3, 12, 5, 24, 8
2022/9/4, 13, 7, 23, 8
2022/9/5, 13, 5, 19, 12
2022/9/6, 12, 6, 22, 11
2022/9/7, 14, 7, 24, 10
2022/9/8, 15, 4, 23, 8
2022/9/9, 8, 5, 23, 9
2022/9/10, 12, 5, 27, 9
2022/9/11, 15, 3, 28, 2
2022/9/12, 9, 6, 27, 3
2022/9/13, 12, 3, 27, 6
2022/9/14, 8, 5, 24, 2
2022/9/15, 11, 7, 23, 1
2022/9/16, 14, 7, 23, 1
2022/9/17, 15, 4, 23, 4
2022/9/18, 9, 3, 22, 5
2022/9/19, 6, 5, 21, 7
2022/9/20, 10, 7, 26, 3
2022/9/21, 11, 6, 30, 1
2022/9/22, 19, 7, 18, 7
2022/9/23, 17, 5, 20, 5
2022/9/24, 15, 3, 25, 2
2022/9/25, 8, 5, 26, 4
2022/9/26, 12, 6, 9, 11
2022/9/27, 13, 6, 28, 10
2022/9/28, 14, 10, 20, 14
2022/9/29, 25, 4, 28, 1
2022/9/30, 10, 5, 31, 2
2022/4/1, 15, 6, , 5
2022/4/2, 16, 4, , 3
2022/4/3, 13, 3, , 3
2022/4/4, 6, 4, , 6
2022/4/5, 9, 6, , 9
2022/4/6, 12, 6, , 8
2022/4/7, 11, 3, , 5
2022/4/8, 6, 8, , 2
2022/4/9, 20, 12, , 1
2022/4/10, 27, 9, , 8
2022/4/11, 21, 8, , 8
2022/4/12, 16, 8, , 12
2022/4/13, 18, 3, , 5
2022/4/14, 11, 4, , 3
2022/4/15, 12, 5, , 5
2022/4/16, 18, 6, , 2
2022/4/17, 20, 8, , 6
2022/4/18, 21, 13, , 12
2022/4/19, 36, 13, , 9
2022/4/20, 38, 7, , 8
2022/4/21, 17, 8, , 5
2022/4/22, 15, 8, , 9
2022/4/23, 18, 5, , 2
2022/4/24, 12, 9, , 4
2022/4/25, 21, 7, , 2
2022/4/26, 14, 6, , 2
2022/4/27, 11, 6, , 1
2022/4/28, 12, 3, , 2
2022/4/29, 8, 3, , 3
2022/4/30, 7, 3, , 4
2022/5/1, 8, 6, , 2
2022/5/2, 14, 7, , 5
2022/5/3, 15, 7, , 2
2022/5/4, 16, 9, , 5
2022/5/5, 21, 4, , 1
2022/5/6, 11, , , 
2022/5/8, 18, 8, , 2
2022/5/9, 15, 8, , 2
2022/5/10, 24, 10, , 4
2022/5/11, 27, 8, , 1
2022/5/12, 18, 7, , 4
2022/5/13, 19, 7, , 3
2022/5/14, 15, 12, , 3
2022/5/15, 34, 5, , 5
2022/5/16, 14, 4, , 10
2022/5/17, 11, 7, , 3
2022/5/18, 17, 10, , 6
2022/5/19, 30, 8, , 8
2022/5/20, 25, 6, , 4
2022/5/21, 18, 5, , 3
2022/5/22, 17, 6, , 2
2022/5/23, 17, 3, , 4
2022/5/24, 8, 4, , 1
2022/5/25, 9, 10, , 1
2022/5/26, 21, 5, , 4
2022/5/27, 11, 6, , 1
2022/5/28, 14, 3, , 3
2022/5/29, 8, 4, , 6
2022/5/30, 12, 5, , 6
2022/5/31, 12, 10, , 4
2022/6/1, 31, 4, , 1
2022/6/2, 16, 5, , 1
2022/6/3, 16, 4, , 1
2022/6/4, 14, 5, , 1
